"obs";"F1";"F2"
"2EL ";-0,0118575755140224;-0,0999341510444315
"1CHA";0,230921705550111;0,275926707691052
"1FON";0,453849292530383;0,315299152383355
"1VAU";0,595804107997771;0,346436707717032
"1DAM";-0,556170722934927;-0,0124728955050076
"2BOU";0,336032882782781;-0,310981385338987
"1BOI";-0,215944095180378;-0,317872658551924
"3EL ";-0,186565055706704;0,281535593345974
"DOM1";0,183353668421713;-0,213834374337815
"1TUR";0,319362337233605;-0,123619268695242
"4EL ";-0,364876057713066;-0,110961600099537
"PER1";-0,353208850683142;-0,109600598710884
"2DAM";-0,207587773366184;-0,210127212497769
"1POY";-0,0174514053880627;-0,294725224025658
"1ING";-0,0145156829198709;-0,187629080449072
"1BEN";0,211803282923105;-0,164375254596283
"2BEA";-0,096194602267785;-0,355522908158967
"1ROC";0,00432635313591223;-0,179377769657576
"2ING";1,00897440465562;0,346029244453909
"T1  ";-0,699808278574211;0,432713387563752
"T2  ";-0,620247934982651;0,693093588514084
