"obs";"Attack.intensity";"Balance";"Smooth";"Bitterness";"Intensity";"Harmony";"Typical"
"2EL ";2,963;3,25;2,731;1,926;2,857;3,143;3,25
"1CHA";3,036;2,926;2,5;1,926;2,893;2,964;3,036
"1FON";3,222;3,321;2,679;2;3,074;3,143;3,179
"1VAU";2,704;2,333;1,68;1,963;2,462;2,038;2,25
"1DAM";3,464;3,464;3,036;2,071;3,643;3,643;3,444
"2BOU";3,286;3,286;2,857;2,179;3,464;3,5;3,393
"1BOI";3,393;3,464;2,857;1,929;3,643;3,556;3,357
"3EL ";3,25;3,179;2,786;2;3,321;3,296;3,071
"DOM1";3,286;3,143;2,821;1,964;3,148;3,286;3,5
"1TUR";2,893;3,214;2,5;2,185;2,857;2,963;2,964
"4EL ";3,321;3,192;2,857;2,214;3,357;3,071;3,5
"PER1";3,357;3,107;2,889;2,037;3,25;3,393;3,556
"2DAM";3,393;3,5;3,286;2;3,407;3,643;3,929
"1POY";3,519;3,444;3,231;2,071;3,667;3,786;3,481
"1ING";3,185;3,286;2,821;2,107;3,321;3,296;3,296
"1BEN";3,393;3,321;3;2;3,214;3,214;3,571
"2BEA";3,071;3,333;2,821;2,143;3,321;3,25;3,269
"1ROC";3,071;3,143;2,607;2,143;3,037;3,074;3,444
"2ING";2,179;2,464;1,821;1,679;2,179;2,107;2,321
"T1  ";2,963;2,571;2,071;2,222;3,037;2,741;2,571
"T2  ";3,333;2,769;2,308;2,667;3,333;3;2,75
