"obs";"Flower";"Plante";"Phenolic";"Astringency";"Alcohol"
"2EL ";2,32;2;1,65;2,429;2,5
"1CHA";2,44;2;1,381;2,179;2,654
"1FON";2,192;1,75;1,25;2,25;2,643
"1VAU";2,083;2,304;1,476;2,185;2,5
"1DAM";2,231;1,762;1,6;2,536;2,786
"2BOU";2,24;1,75;1,476;2,643;2,857
"1BOI";2,2;1,826;1,476;2,607;2,778
"3EL ";2,32;2,08;1,905;2,63;2,778
"DOM1";2,04;1,875;1,524;2,407;2,741
"1TUR";2,04;2;1,773;2,25;2,704
"4EL ";2,115;1,955;1,571;2,571;2,893
"PER1";2;2,042;1,545;2,607;2,821
"2DAM";2,269;1,957;1,571;2,5;2,821
"1POY";2,12;1,826;1,55;2,536;2,778
"1ING";2,24;1,75;1,524;2,643;2,929
"1BEN";2,269;1,917;1,4;2,357;2,704
"2BEA";2,16;1,913;1,75;2,321;2,929
"1ROC";2,308;2;1,429;2,321;2,821
"2ING";1,962;2,08;1,318;1,964;2,25
"T1  ";1,773;2,292;1,571;2,643;2,963
"T2  ";2,083;2,174;1,65;2,667;2,704
