"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"2EL ";-0,0286934520811613;0,0131181107573273;0,0708265373306657
"1CHA";-0,113670214013831;-0,0281481728800945;-0,237870257450161
"1FON";-0,196329427893791;-0,161984768460922;-0,309030882221066
"1VAU";-0,234182712754708;-0,262362215146543;-0,358141735936198
"1DAM";0,383057585283502;0,156992451006717;0,122944178007948
"2BOU";-0,196329427893791;-0,241171420846246;0,148000736025872
"1BOI";0,0794587903786001;0,0376548199471455;0,263260902908324
"3EL ";0,00684228472704615;0,288598436661197;-0,160696058754955
"DOM1";-0,196329427893791;-0,0426471374013507;0,108912505517911
"1TUR";-0,168518851261281;-0,193213307429782;0,0217156836155342
"4EL ";0,10726936701111;0,23617910339204;0,148000736025872
"PER1";0,217739157523581;0,0956506780321709;0,148000736025872
"2DAM";0,0524207297636596;0,0956506780321709;0,186086704213118
"1POY";-0,0310110001338703;-0,0426471374013507;0,207134212948174
"1ING";-0,00320042350136018;-0,0426471374013507;0,132966801215118
"1BEN";-0,140708274628771;-0,121833789786674;0,0708265373306657
"2BEA";-0,0580490607488107;0,0543843943947491;0,263260902908324
"1ROC";-0,0310110001338703;-0,0281481728800945;0,122944178007948
"2ING";-0,361647855653712;-0,564609860166579;-0,438322721593556
"T1  ";0,451811510847207;0,381168748604604;-0,157689271792803
"T2  ";0,461081703058044;0,370015698972868;-0,353130424332613
