"obs";"Aroma.quality.before.shaking";"Aroma.intensity";"Aroma.persistency";"Aroma.quality"
"2EL ";-0,049760199355108;0,054446194695154;-0,0180005270614764;0,0965068801912968
"1CHA";-0,244399730443403;-0,206168476305364;-0,159185383893056;-0,0973829901371671
"1FON";-0,126963588781192;-0,105257071709204;-0,166472344245654;0,00946872672267967
"1VAU";-0,492320473952516;-0,574714475700037;-0,364131143809865;-0,414400004396845
"1DAM";0,416722252247565;0,366832803705877;0,285319197615401;0,281905223352091
"2BOU";0,0709380573532762;0,0149591233314392;0,150510431092344;0,182129779131969
"1BOI";0,19163631406166;0,0465487804224112;0,217914814353872;0,227417924026208
"3EL ";-0,21069120829962;0,0728734946648876;0,161440871621241;-0,0719084086341572
"DOM1";-0,250923960535748;-0,0429552480020092;-0,0817614301467062;0,172930624700326
"1TUR";-0,049760199355108;-0,105257071709204;-0,253915868476825;-0,202111825205097
"4EL ";0,261228101713341;0,0781384375133831;0,0484929861559771;0,112074679998692
"PER1";0,144879331733187;0,108850604129606;0,080373437698592;0,0561721261448643
"2DAM";0,261228101713341;0,249249080089481;0,251617005984637;0,145333161405399
"1POY";0,0665885706250461;0,0632210994426465;0,0885712680952642;0,0908458620795169
"1ING";0,105733951179116;0,119380489826597;0,0494038562000517;0,216803515066621
"1BEN";0,144879331733187;-0,137724219274925;-0,0207331371937007;0,0965068801912968
"2BEA";0,144879331733187;0,2834712086047;0,285319197615401;0,281905223352091
"1ROC";-0,130225703827364;0,0465487804224112;-0,057167938956689;-0,129933844279902
"2ING";-0,282457739315416;-0,453620790184644;-0,61462040593041;-0,359205077806991
"T1  ";0,159015163599935;0,210639499200515;-0,0225548772818499;-0,328069478192201
"T2  ";-0,130225703827364;-0,0894622431637177;0,139579990563448;-0,366988977710688
