"obs";"Attack.intensity";"Balance";"Smooth";"Bitterness";"Intensity";"Harmony";"Typical"
"2EL ";-0,141220855777888;0,0813028488897248;0,0306588295180668;-0,170229911366956;-0,185427604691672;-0,00250517744075052;0,02796216480718
"1CHA";-0,0878846715188335;-0,136486357348735;-0,0941112896028576;-0,170229911366956;-0,163821058892211;-0,0930528889771065;-0,0844367338005724
"1FON";0,0480130034425933;0,129028261367906;0,00257204945621365;-0,0814590112782814;-0,0551881480671425;-0,00250517744075052;-0,0093290585626819
"1VAU";-0,330454714998369;-0,535094379877769;-0,537018205962849;-0,125844461322618;-0,422499426657983;-0,5614728939082;-0,497266333359888
"1DAM";0,224826107424665;0,225151275232411;0,195398597188551;0,00371306853652775;0,286315311929897;0,250421391096557;0,129856493451591
"2BOU";0,0947734937519014;0,105501649582887;0,0987152581294803;0,133270598395673;0,178882764760354;0,178084392494887;0,103069840045071
"1BOI";0,172951188487776;0,225151275232411;0,0987152581294803;-0,16663109109309;0,286315311929897;0,206412168171066;0,0841616141110563
"3EL ";0,0684707179529156;0,0335774364115436;0,0603660007373346;-0,0814590112782814;0,0930567633902721;0,0748903525316656;-0,066053736364725
"DOM1";0,0947734937519014;0,00937863571838135;0,079270564240505;-0,124644854564663;-0,0107746928126943;0,0698318211609195;0,159269289348947
"1TUR";-0,192365142053694;0,0571040481965625;-0,0941112896028576;0,140468238943404;-0,185427604691672;-0,0935587421141811;-0,122253185668601
"4EL ";0,120345636889804;0,042315892217408;0,0987152581294803;0,1752568349241;0,114663309189733;-0,0389266033101226;0,159269289348947
"PER1";0,14664841268879;-0,0148201649747806;0,115999430475236;-0,0370735612339444;0,0504438536191124;0,123958106827903;0,188682085246303
"2DAM";0,172951188487776;0,249350075925574;0,330431193639768;-0,0814590112782814;0,144672400577874;0,250421391096557;0,384592315062619
"1POY";0,265010903784226;0,211707497069544;0,300724022420501;0,00371306853652775;0,300719675796205;0,322758389698227;0,149289947883773
"1ING";0,0209795949825246;0,105501649582887;0,079270564240505;0,0468989118229098;0,0930567633902721;0,0748903525316656;0,052122675722865
"1BEN";0,172951188487776;0,129028261367906;0,175953903299576;-0,0814590112782814;0,0288373078196512;0,0334103952915472;0,196560512718809
"2BEA";-0,0623125283809305;0,137094528265627;0,079270564240505;0,0900847551092912;0,0930567633902721;0,0516211082262334;0,0379415062723543
"1ROC";-0,0623125283809305;0,00937863571838135;-0,0363173383217366;0,0900847551092912;-0,0773948756943664;-0,0374090438988989;0,129856493451591
"2ING";-0,714036862066913;-0,447037632910984;-0,460859821564363;-0,466532780581854;-0,592350883914858;-0,526569027450051;-0,459975109990026
"T1  ";-0,141220855777888;-0,375113419739641;-0,325827225113146;0,184853688987741;-0,0773948756943664;-0,205858138544746;-0,328667985448259
"T2  ";0,1291132288228;-0,242020015927248;-0,197816323677392;0,71867869627774;0,100258945323426;-0,0748421760424203;-0,234652084276354
