"obs";"F1";"F2";"F3"
"2EL ";-0,0731995727499382;0,395278535009317;-0,126208206526609
"1CHA";0,284036222841029;0,180866227557618;0,0696317815962606
"1FON";-0,0808024432500563;0,110838561962385;0,0120298594011162
"1VAU";1,37970038329779;-0,00641838219375414;0,143308755769368
"1DAM";-0,547478444692754;-0,137498627742663;0,161435316551472
"2BOU";-0,323693064834191;-0,167518313563803;-0,018295305403713
"1BOI";-0,469156725756576;-0,0307400699655207;0,31481728547073
"3EL ";-0,0785683350009843;-0,047667970660745;0,19451083487874
"DOM1";-0,177418730530114;0,156594578187207;0,0222666320280188
"1TUR";0,167835529367534;0,0629891572653423;-0,273162880571805
"4EL ";-0,169373775711156;-0,158003907240945;-0,133129138378047
"PER1";-0,22735569369345;0,0341471080594166;0,0128077856567019
"2DAM";-0,766358750385309;0,240663480101066;-0,105346656543025
"1POY";-0,636471750071886;-0,132240802053292;0,168047866879694
"1ING";-0,218731216042549;-0,0281018520563696;-0,0291689323385229
"1BEN";-0,32440524656312;0,139616936490502;-0,0304269977558862
"2BEA";-0,231792391577478;-0,00863532085745432;-0,107185936941532
"1ROC";-0,0316588176145854;0,0802487192787062;-0,240132824012926
"2ING";1,20039151122422;0,673213767538974;0,028763674915247
"T1  ";0,798769324697346;-0,397385589982259;0,0980659005161702
"T2  ";0,525731987046231;-0,96024623513373;-0,162628815191452
