"obs";"F1";"F2"
"2EL ";-0,0327395618710371;-0,470333266726536
"1CHA";0,820345430638018;-0,489474661580439
"1FON";0,231958130829297;0,201559608339003
"1VAU";0,80352886411026;0,299507117912288
"1DAM";-0,24590520980004;-0,202452462029201
"2BOU";-0,430614033328381;0,0453105082339934
"1BOI";-0,0934257904860911;-0,120709325891275
"3EL ";0,0716724915637535;-0,294344522088043
"DOM1";-0,239182174044633;0,287080154344177
"1TUR";0,00264871851841164;0,446388009884025
"4EL ";-0,111133825756029;0,274394368847806
"PER1";-0,519383473777272;0,062400326373545
"2DAM";-0,166673927714793;-0,375682959613504
"1POY";-0,514543389234583;-0,118122961401138
"1ING";-0,119424001544858;-0,282622107443963
"1BEN";0,0530759649734147;0,119603716958228
"2BEA";0,14021041568661;-0,387243899512689
"1ROC";0,106748734201899;0,111279377642643
"2ING";0,986920246771597;0,345026235990293
"T1  ";-0,479387544332417;0,501962963874961
"T2  ";-0,264696065403128;0,0464737778858236
