"obs";"Aroma.quality.before.shaking";"Aroma.intensity";"Aroma.persistency";"Aroma.quality"
"2EL ";3;3,259;2,963;3,2
"1CHA";2,821;2,962;2,808;2,926
"1FON";2,929;3,077;2,8;3,077
"1VAU";2,593;2,542;2,583;2,478
"1DAM";3,429;3,615;3,296;3,462
"2BOU";3,111;3,214;3,148;3,321
"1BOI";3,222;3,25;3,222;3,385
"3EL ";2,852;3,28;3,16;2,962
"DOM1";2,815;3,148;2,893;3,308
"1TUR";3;3,077;2,704;2,778
"4EL ";3,286;3,286;3,036;3,222
"PER1";3,179;3,321;3,071;3,143
"2DAM";3,286;3,481;3,259;3,269
"1POY";3,107;3,269;3,08;3,192
"1ING";3,143;3,333;3,037;3,37
"1BEN";3,179;3,04;2,96;3,2
"2BEA";3,179;3,52;3,296;3,462
"1ROC";2,926;3,25;2,92;2,88
"2ING";2,786;2,68;2,308;2,556
"T1  ";3,192;3,437;2,958;2,6
"T2  ";2,926;3,095;3,136;2,545
