"obs";"Flower.before.shaking";"Visual.intensity";"Nuance";"Surface.feeling"
"2EL ";2,28;4,321;4;3,269
"1CHA";2,28;3,222;3;2,808
"1FON";1,96;3,536;3,393;3
"1VAU";1,913;2,893;2,786;2,538
"1DAM";2,154;4,393;4,036;3,385
"2BOU";2,04;4,464;4,259;3,407
"1BOI";2,115;4,143;3,929;3,25
"3EL ";2,2;4,214;3,857;3,077
"DOM1";1,923;4,037;3,893;3,28
"1TUR";1,846;3,704;3,407;3,111
"4EL ";1,926;3,857;3,643;3,259
"PER1";2,038;4,714;4,5;3,321
"2DAM";2,231;4,222;4,071;3,462
"1POY";2,12;4,714;4,536;3,429
"1ING";2,185;4,071;3,893;3,462
"1BEN";2;3,889;3,429;3,143
"2BEA";2,231;3,786;3,607;3,357
"1ROC";2;3,679;3,393;3,192
"2ING";1,889;2,607;2,536;2,444
"T1  ";1,826;4,321;4;3,333
"T2  ";2,04;4,321;4,107;3,259
