"obs";"Fruity.before.shaking";"Spice.before.shaking";"Fruity";"Spice";"Acidity"
"2EL ";-5,29683845057207e-05;-0,0293675714704825;0,0382006096781096;-0,366643618966785;-0,25939200894969
"1CHA";-0,377134897678763;-0,290610113446939;-0,28974802057736;-0,476094866796279;-0,25939200894969
"1FON";-0,171352723875112;0,0797944907125366;-0,0788518245053808;0,0776634266776936;-0,192280318749154
"1VAU";-0,330416782544962;0,157234244226986;-0,460281308310204;-0,0122816581722865;0,739826489591621
"1DAM";0,489374904445799;0,045273154808505;0,315695604509661;-0,032871496872884;0,17310555012043
"2BOU";-0,152443010606669;0,0797944907125366;-0,0475705705425517;-0,032871496872884;0,00719053823577156
"1BOI";0,275806378119848;0,045273154808505;0,1925887340753;0,223959649024046;0,206661395220698
"3EL ";-0,238092888351972;0,18055947118917;-0,330110928916495;0,287896516568008;-0,192280318749154
"DOM1";0,104506622629241;0,0769954634770745;0,154243971153122;-0,0577960384578183;-0,0925448902566912
"1TUR";-0,159117027054354;-0,290610113446939;0,0795725907257231;-0,147741123307798;-0,026365306864496
"4EL ";-5,29683845057207e-05;-0,0275015533135078;0,0422369005120231;-0,0198673882198748;0,0407463833360395
"PER1";0,0611255157192825;-0,0666879346099763;0,115899208230944;0,023479640623489;0,0407463833360395
"2DAM";0,0711365403908114;-0,215969387167951;0,116908280939423;-0,0263694425463796;-0,0925448902566912
"1POY";0,0188567448839378;-0,178649024028457;0,0382006096781096;0,181696295901767;-0,255663581716327
"1ING";0,146775393464586;-0,0275015533135078;-0,00115322595254645;0,110173698310216;-0,0925448902566912
"1BEN";0,153449409912272;0,0424741275730429;0,270287332628135;-0,19325550359333;0,00719053823577156
"2BEA";0,359231583715922;-0,302739231467274;0,34092242222162;0,0668266694668529;0,17310555012043
"1ROC";0,0299801056300813;-0,10400829774947;0,116908280939423;-0,28320058844331;0,00719053823577156
"2ING";-0,198048789665856;-0,171184951400559;-0,350292383086062;-0,0729674985529954;-0,126100735356959
"T1  ";0,1323150244946;0,367161286886638;-0,0142711711627651;0,283561813683672;0,0202400335525426
"T2  ";-0,215846166859685;0,630269847020069;-0,249385112238225;0,466703010546884;0,17310555012043
