"obs";"Flower";"Plante";"Phenolic";"Astringency";"Alcohol"
"2EL ";0,234154117452191;0,0486503944327984;0,15770344365618;-0,0128232820796091;-0,321493962189638
"1CHA";0,412153627551595;0,0486503944327984;-0,236485385199466;-0,296883328146893;-0,115773448987959
"1FON";0,044287973346161;-0,293270048367994;-0,428450948694223;-0,216210275063784;-0,130467771359507
"1VAU";-0,11739491499413;0,464425652878561;-0,0972737170162455;-0,290065887041278;-0,321493962189638
"1DAM";0,102137814128467;-0,276857867113556;0,0844341446123795;0,108754417637189;0,0605584194706242
"2BOU";0,115487777385922;-0,293270048367994;-0,0972737170162455;0,230332117353986;0,155403591141529
"1BOI";0,0561546073527879;-0,189326233756553;-0,0972737170162455;0,189427470720298;0,0498716395640434
"3EL ";0,234154117452191;0,158064936129052;0,531376868779561;0,215560994958487;0,0498716395640434
"DOM1";-0,18117807277975;-0,122309826967598;-0,0269351899341971;-0,0378205661335299;0,000445282496107483
"1TUR";-0,18117807277975;0,0486503944327984;0,337945919303928;-0,216210275063784;-0,0489810745718285
"4EL ";-0,0699283789676228;-0,012895285271344;0,0419379511669751;0,148522824086609;0,203494100721142
"PER1";-0,240511242812885;0,106093028823331;0,00383791566419892;0,189427470720298;0,107313081561915
"2DAM";0,158504325659945;-0,0101599217289377;0,0419379511669751;0,0678497710034997;0,107313081561915
"1POY";-0,0625117327134811;-0,189326233756553;0,0111648455685791;0,108754417637189;0,0498716395640434
"1ING";0,115487777385922;-0,293270048367994;-0,0269351899341971;0,230332117353986;0,251584610300755
"1BEN";0,158504325659945;-0,0648671925770645;-0,208643051562822;-0,0946325753469865;-0,0489810745718285
"2BEA";-0,00317856268034661;-0,0703379196618771;0,30424204174378;-0,135537221980675;0,251584610300755
"1ROC";0,216354166442251;0,0486503944327984;-0,166146858117418;-0,135537221980675;0,107313081561915
"2ING";-0,296877754344363;0,158064936129052;-0,328804701994654;-0,541174967764757;-0,655455834270287
"T1  ";-0,577226982750923;0,448013471624123;0,0419379511669751;0,230332117353986;0,297003424903724
"T2  ";-0,11739491499413;0,28662702262215;0,15770344365618;0,257601881776445;-0,0489810745718285
