"obs";"F1"
"2EL ";0,0108260045041067
"1CHA";-0,450488065337362
"1FON";-0,303399401735831
"1VAU";-1,09786528349477
"1DAM";0,805458106804982
"2BOU";0,20750979509353
"1BOI";0,363357548940164
"3EL ";0,0881010083069168
"DOM1";-0,223648229717855
"1TUR";-0,365791412008184
"4EL ";0,256798079110053
"PER1";0,243326521291369
"2DAM";0,584038581573058
"1POY";0,176875645320376
"1ING";0,219606231826616
"1BEN";-0,0421969387384434
"2BEA";0,595528908212929
"1ROC";-0,0981445950292299
"2ING";-1,11562466947094
"T1  ";0,196159037255802
"T2  ";-0,0504268727072836
