"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"1ING";3,06096708957587;3,36959597119531;3,40067851586604
"PER1";3,20367825142141;3,47522497233007;3,31576479823255
"1FON";2,86586483336026;3,26722261636726;3,24713418820842
"1BEN";2,93502798203762;3,32146241695276;3,32891720492975
"1TUR";3,07980489273452;3,38427825844452;3,10336776934361
"1CHA";2,8656619602364;3,23256462914653;3,11013173423659
"3EL ";3,22419166059265;3,41719104747311;3,22751755675113
"2EL ";2,83003273254827;3,19322534832788;3,34136183993769
"2DAM";3,21975805314375;3,40977842070378;3,52807468169789
"1BOI";3,09724051104262;3,44745312782144;3,40719468992025
"4EL ";3,16792046140184;3,44966896511261;3,34996511838969
"1DAM";3,36407289916572;3,62208978553459;3,52491221773179
"1ROC";3,0952625188929;3,45643956502386;3,14680200501496
"T1  ";3,77683005610501;3,68076779719169;2,98200316183797
"2BEA";3,51596159332132;3,54766589406372;3,37842820033141
"2BOU";3,06276359536965;3,47809872534785;3,40953746381847
"T2  ";3,3281488532444;3,76103236956939;3,24348972943379
"1VAU";2,76907076609155;3,22750849100946;2,7685308310072
"DOM1";2,82945539879878;3,22925747736902;3,20723728277394
"1POY";3,20487942554142;3,48005163434218;3,19159252295371
"2ING";2,51729914143448;3,0713416484105;3,07035806338242
