"obs";"F1";"F2"
"2EL ";0,0403430554649627;0,101419872191905
"1CHA";-0,477382759492835;0,0883971540745119
"1FON";-0,279926333601358;0,143637043641318
"1VAU";-1,21308890088123;0,0141153803535303
"1DAM";0,883310149224606;-0,0210990913282755
"2BOU";0,235518842021149;0,158467994344621
"1BOI";0,403831397690059;0,15506230809083
"3EL ";0,00849922082569456;-0,141753905519249
"DOM1";-0,182370991464808;0,305287543401764
"1TUR";-0,376779355532767;-0,10410531852029
"4EL ";0,310907012025861;0,0332361555009852
"PER1";0,261556066165668;-0,0424772504483711
"2DAM";0,607301523519774;-0,0845418797516506
"1POY";0,193223436516146;0,0375653800819663
"1ING";0,289103335913653;0,165093895294044
"1BEN";0,00248125485545441;0,178925718854468
"2BEA";0,640187461232258;0,0739966283634388
"1ROC";-0,136488603681277;-0,14704377490041
"2ING";-1,12858689624298;0,0503952316075222
"T1  ";0,128615991042951;-0,545623324648106
"T2  ";-0,210254905600983;-0,41895576068455
