"code";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"cst.";"0,334788479093829";"0,277049691893621";"0,640645670860884"
"Aroma.quality.before.shaking";"0,481269225531142";"0,13237143858747";"0,0184420568105723"
"Aroma.intensity";"0,73792066185292";"0,247995664452659";"-0,148132594871406"
"Aroma.persistency";"0,288559989854407";"0,0681287032268821";"0,0550832551990619"
"Aroma.quality";"-0,391425192066699";"-0,229195542615664";"0,461094415225537"
"Attack.intensity";"0,439706492524729";"0,246652646358248";"-0,241065432722393"
"Balance";"-0,309737367434504";"-0,0777845907791305";"0,206041057179295"
"Smooth";"-0,122915495832523";"-0,00510615036345759";"0,0873064803083377"
"Bitterness";"0,122318920998265";"0,0693554128786725";"0,0466547228002923"
"Intensity";"0,197914361879793";"0,15331188211762";"-0,093529385043278"
"Harmony";"-0,0176996137271951";"0,0529213288623927";"0,0296014495557276"
"Typical";"-0,202555236478467";"-0,0383016236475403";"0,141000471626201"
"Flower.before.shaking";"0,231694030880629";"0,394485891845871";"-0,177418371484988"
"Visual.intensity";"0,0289570503372384";"-0,0457742847804651";"0,0109605141377568"
"Nuance";"0,0292957790802245";"-0,0503755383881331";"0,0125056529635872"
"Surface.feeling";"0,0553494019050305";"-0,0786948566279609";"0,0178836425391921"
"Flower";"-0,111243582356262";"-0,24277657040787";"-0,203806905796463"
"Plante";"0,147963969833928";"0,307949460064213";"0,257559996994758"
"Phenolic";"-0,190430421429135";"0,191271028405784";"0,199436351255636"
"Astringency";"-0,23391626188189";"0,103870770396685";"0,126545804102808"
"Alcohol";"-0,378872778287781";"0,148122259823964";"0,186789528542113"
