"obs";"F1";"F2";"F3"
"2EL ";0,184690315351386;0,364418657114591;-0,154604451231607
"1CHA";0,371571047054372;0,147110283308651;0,0929488029777404
"1FON";-0,0247122134601049;0,134598228778978;-0,00470854997508256
"1VAU";1,4302762842665;-0,196996806962235;0,200033791536307
"1DAM";-0,66191487552098;0,023375089505945;0,118323228907745
"2BOU";-0,415064725900043;-0,115767778443186;-0,0361535519852902
"1BOI";-0,498260998227307;0,178512017247697;0,236578852548798
"3EL ";-0,119231294546673;0,0433720246855971;0,162884000809976
"DOM1";-0,17147116088904;0,174880841868349;0,0710421309535514
"1TUR";0,31554887404937;-0,0468737788034699;-0,315445799533224
"4EL ";-0,304688570367115;-0,181121310043416;-0,0895827127143332
"PER1";-0,309522002400353;0,0525591029690881;0,07999824263041
"2DAM";-0,715084297100238;0,321706947688054;-0,092912972105663
"1POY";-0,780927392146759;0,0405569035962677;0,138939017089476
"1ING";-0,213244064001105;0,00819582866802211;-0,0620803656929104
"1BEN";-0,343857767343534;0,17324968870361;0,0111404912444582
"2BEA";-0,163355127224394;0,0124693550189475;-0,172461585371262
"1ROC";0,0289133310954598;-0,00955695983831857;-0,210031778803405
"2ING";1,76713715799001;0,489879610720322;-0,0310127878067931
"T1  ";0,627530110043152;-0,501386981687845;0,131675633677336
"T2  ";-0,00433263072260797;-1,11318096409565;-0,074569637156224
