"obs";"Odor.Intensity.before.shaking";"Odor.Intensity";"Quality.of.odour"
"2EL ";3,074;3,407;3,308
"1CHA";2,964;3,37;3
"1FON";2,857;3,25;2,929
"1VAU";2,808;3,16;2,88
"1DAM";3,607;3,536;3,36
"2BOU";2,857;3,179;3,385
"1BOI";3,214;3,429;3,5
"3EL ";3,12;3,654;3,077
"DOM1";2,857;3,357;3,346
"1TUR";2,893;3,222;3,259
"4EL ";3,25;3,607;3,385
"PER1";3,393;3,481;3,385
"2DAM";3,179;3,481;3,423
"1POY";3,071;3,357;3,444
"1ING";3,107;3,357;3,37
"1BEN";2,929;3,286;3,308
"2BEA";3,036;3,444;3,5
"1ROC";3,071;3,37;3,36
"2ING";2,643;2,889;2,8
"T1  ";3,696;3,737;3,08
"T2  ";3,708;3,727;2,885
