"obs";"Fruity.before.shaking";"Spice.before.shaking";"Fruity";"Spice";"Acidity"
"2EL ";2,714;1,96;2,885;1,84;2,107
"1CHA";2,375;1,68;2,56;1,739;2,107
"1FON";2,56;2,077;2,769;2,25;2,179
"1VAU";2,417;2,16;2,391;2,167;3,179
"1DAM";3,154;2,04;3,16;2,148;2,571
"2BOU";2,577;2,077;2,8;2,148;2,393
"1BOI";2,962;2,04;3,038;2,385;2,607
"3EL ";2,5;2,185;2,52;2,444;2,179
"DOM1";2,808;2,074;3;2,125;2,286
"1TUR";2,571;1,68;2,926;2,042;2,357
"4EL ";2,714;1,962;2,889;2,16;2,429
"PER1";2,769;1,92;2,962;2,2;2,429
"2DAM";2,778;1,76;2,963;2,154;2,286
"1POY";2,731;1,8;2,885;2,346;2,111
"1ING";2,846;1,962;2,846;2,28;2,286
"1BEN";2,852;2,037;3,115;2;2,393
"2BEA";3,037;1,667;3,185;2,24;2,571
"1ROC";2,741;1,88;2,963;1,917;2,393
"2ING";2,536;1,808;2,5;2,111;2,25
"T1  ";2,833;2,385;2,833;2,44;2,407
"T2  ";2,52;2,667;2,6;2,609;2,571
